"Distrito","Satisfaccion","Calidad","Tamaño","Ubicacion","Sexo","Edad","Año"
6,"8","8","10","10",1,74,2023
6,"10","10","10","10",2,62,2023
6,"8","8","6","8",2,61,2023
6,"7","8","10","9",1,53,2023
6,"8","9","10","8",2,61,2023
6,"6","6","8","8",1,69,2023
6,"9","8","9","1",2,49,2023
6,"7","8","8","8",2,67,2023
6,"5","8","9","8",1,51,2023
6,"8","8","8","8",1,60,2023
6,"8","8","8","10",1,70,2023
6,"7","8","10","7",1,31,2023
6,"7","7","8","9",1,49,2023
6,"8","9","8","7",2,51,2023
6,"10","9","9","10",1,72,2023
6,"10","9","6","9",1,68,2023
6,"8","7","6","9",2,35,2023
6,"4","10","10","10",1,67,2023
6,"7","8","10","10",1,57,2023
6,"10","9","10","10",2,67,2023
6,"9","9","8","7",2,61,2023
6,"10","10","10","10",2,63,2023
6,"10","8","10","10",2,32,2023
6,"8","9","7","9",2,35,2023
6,"10","10","10","7",2,56,2023
6,"10","10","10","10",2,50,2023
7,"6","8","7","7",2,70,2023
7,"10","10","10","10",1,67,2023
7,"5","7","6","10",2,34,2023
7,"10","10","10","7",2,76,2023
7,"9","10","10","10",1,56,2023
7,"7","6","7","9",1,57,2023
7,"10","8","10","10",2,52,2023
7,"10","10","8","8",2,43,2023
7,"9","9","8","10",1,23,2023
7,"7","5","7","4",2,40,2023
7,"10","9","9","10",1,65,2023
7,"9","8","9","9",1,46,2023
7,"10","10","10","10",2,18,2023
7,"9","7","9","10",2,85,2023
7,"10","8","10","9",2,65,2023
7,"9","9","9","10",1,24,2023
7,"10","9","9","9",1,60,2023
7,"5","7","7","8",1,68,2023
7,"7","7","10","7",1,53,2023
7,"8","8","10","7",1,31,2023
7,"7","7","5","6",2,48,2023
7,"5","5","8","5",2,53,2023
7,"10","10","10","7",2,75,2023
7,"3","4","5","5",1,67,2023
7,"8","10","10","10",2,53,2023
5,"10","9","7","10",2,66,2023
5,"10","10","10","9",2,42,2023
5,"10","10","10","7",2,36,2023
5,"7","8","8","8",1,65,2023
5,"8","7","9","9",1,67,2023
5,"7","6","8","9",1,56,2023
5,"9","9","9","8",1,69,2023
5,"10","10","10","10",1,35,2023
5,"8","8","8","10",1,36,2023
5,"10","8","9","8",2,72,2023
5,"7","8","7","9",1,31,2023
5,"10","10","10","10",1,66,2023
5,"9","8","9","9",1,35,2023
5,"8","9","10","9",2,32,2023
5,"9","8","8","9",1,57,2023
5,"9","9","9","10",1,27,2023
5,"9","9","10","9",2,36,2023
5,"10","9","9","10",1,81,2023
5,"10","9","9","7",2,54,2023
5,"6","7","7","9",2,65,2023
5,"10","9","10","10",2,54,2023
5,"10","8","10","10",2,54,2023
5,"8","8","8","9",2,45,2023
5,"10","9","10","10",1,66,2023
5,"10","10","10","10",1,41,2023
5,"8","9","9","9",1,26,2023
5,"10","10","10","10",2,78,2023
5,"10","10","10","10",1,72,2023
5,"10","10","9","10",1,66,2023
5,"8","8","8","8",1,37,2023
5,"8","8","10","8",1,3,2023
5,"10","10","10","10",2,27,2023
5,"8","7","6","8",1,42,2023
5,"10","10","10","10",2,61,2023
4,"10","10","10","10",1,63,2023
4,"10","10","10","10",1,32,2023
4,"10","10","10","10",1,21,2023
4,"10","10","8","9",2,27,2023
4,"10","10","10","10",1,67,2023
4,"10","10","10","10",1,64,2023
4,"10","10","10","10",1,65,2023
4,"10","10","10","10",1,40,2023
4,"8","7","10","10",1,29,2023
4,"7","8","8","8",2,56,2023
4,"8","6","7","1",2,41,2023
4,"9","9","8","10",1,58,2023
4,"10","9","10","7",2,27,2023
4,"10","9","9","10",2,32,2023
4,"10","10","9","10",2,34,2023
4,"10","10","9","10",1,72,2023
4,"9","9","10","9",2,42,2023
4,"9","9","9","9",1,65,2023
4,"8","7","8","9",1,51,2023
4,"9","8","8","8",1,40,2023
4,"10","10","10","10",1,73,2023
4,"8","9","9","8",2,56,2023
4,"","","","",NA,NA,2023
4,"8","8","9","10",1,36,2023
4,"10","10","10","10",1,66,2023
4,"7","7","6","7",1,66,2023
4,"10","7","7","9",1,42,2023
4,"10","10","9","9",1,73,2023
4,"9","5","8","8",1,72,2023
4,"10","6","9","7",1,85,2023
4,"10","10","10","10",1,49,2023
4,"8","8","10","10",1,79,2023
4,"10","10","5","10",1,69,2023
4,"10","10","10","9",1,28,2023
4,"7","7","8","7",2,62,2023
4,"8","8","9","8",2,53,2023
